id,country,code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
-2,Kosovo,KSV,n/a,26.97,-0.7,5.98,2.61,6.03,3.4,8.3,7.2,3,3.2,4.5,2.7,3.01
4,Afghanistan,AFG,n/a,n/a,n/a,8.44,1.06,11.18,5.55,13.74,3.61,21.02,8.43,6.11,14.43,4.23
8,Albania,ALB,7.3,7,2.9,5.7,5.9,5.5,5,5.9,7.7,3.3,3.5,3,1.3,1.3
12,Algeria,DZA,2.2,4.61,5.6,7.2,4.3,5.9,1.7,3.4,2,1.6,3.6,2.8,3.3,2.7
20,Andorra,AND,1.17,11.77,5.87,6.75,6.48,5.92,6.79,1.43,3.57,n/a,n/a,n/a,n/a,n/a
24,Angola,AGO,3.01,4.22,13.82,5.25,10.88,18.26,20.74,22.59,13.82,2.41,3.41,3.92,5.19,4.06
28,Antigua & Barbuda,ATG,5.1,-3.12,2.9,6.58,4.91,6.11,13.54,8.9,0.06,-12.03,-7.18,-2.01,3.31,0.65
31,Azerbaijan,AZE,11.1,9.9,10.6,11.2,10.2,26.4,34.5,25.05,10.77,9.41,4.85,0.07,2.2,5.8
32,Argentina,ARG,-0.79,-4.41,-10.89,8.84,9.03,9.2,8.36,8,3.1,0.05,9.14,8.55,0.95,2.95
36,Australia,AUS,3.88,1.92,3.87,3.08,4.16,3.22,2.98,3.77,3.7,1.74,1.96,2.24,3.61,2.66
40,Austria,AUT,3.67,0.86,1.69,0.87,2.59,2.4,3.67,3.71,1.44,-3.82,1.77,2.83,0.87,0.39
44,Bahamas,BHS,4.15,2.63,2.7,-1.26,0.88,3.4,2.52,1.45,-2.32,-4.18,0.99,1.66,1.83,n/a
48,Bahrain,BHR,5.3,2.49,3.61,6.02,6.98,6.77,6.47,8.29,6.24,2.55,4.34,2.1,3.4,5.49
50,Bangladesh,BGD,5.94,5.27,4.42,5.26,6.27,5.96,6.63,6.43,6.19,5.74,6.07,6.71,6.23,6.03
51,Armenia,ARM,5.9,9.56,13.19,14.04,10.47,13.87,13.2,13.75,6.9,-14.15,2.2,4.7,7.2,3.5
